UnitPrice	Quantity	Discount	Rev	CompanyName	Country	productName	Discontinued	CategoryName	Employee
14.4000	45	0.2	518.40	QUICK-Stop	Germany	Chai	1	Beverages	Nancy Davolio
14.4000	18	0	259.20	Rattlesnake Canyon Grocery	USA	Chai	1	Beverages	Margaret Peacock
14.4000	20	0	288.00	Lonesome Pine Restaurant	USA	Chai	1	Beverages	Michael Suyama
14.4000	15	0.15	183.60	Die Wandernde Kuh	Germany	Chai	1	Beverages	Margaret Peacock
14.4000	12	0	172.80	Pericles Comidas clásicas	Mexico	Chai	1	Beverages	Laura Callahan
14.4000	15	0.15	183.60	Chop-suey Chinese	Switzerland	Chai	1	Beverages	Michael Suyama
14.4000	10	0	144.00	Queen Cozinha	Brazil	Chai	1	Beverages	Robert King
14.4000	24	0	345.60	La maison d'Asie	France	Chai	1	Beverages	Janet Leverling
14.4000	15	0	216.00	Princesa Isabel Vinhos	Portugal	Chai	1	Beverages	Steven Buchanan
18.0000	40	0.2	576.00	Lehmanns Marktstand	Germany	Chai	1	Beverages	Margaret Peacock
18.0000	8	0.15	122.40	Wartian Herkku	Finland	Chai	1	Beverages	Margaret Peacock
18.0000	10	0	180.00	Tortuga Restaurante	Mexico	Chai	1	Beverages	Janet Leverling
18.0000	20	0	360.00	Mère Paillarde	Canada	Chai	1	Beverages	Margaret Peacock
18.0000	3	0	54.00	Du monde entier	France	Chai	1	Beverages	Robert King
18.0000	6	0	108.00	Wolski  Zajazd	Poland	Chai	1	Beverages	Michael Suyama
18.0000	25	0	450.00	Blondesddsl père et fils	France	Chai	1	Beverages	Margaret Peacock
18.0000	15	0.25	202.50	Hungry Owl All-Night Grocers	Ireland	Chai	1	Beverages	Anne Dodsworth
18.0000	35	0.25	472.50	Berglunds snabbköp	Sweden	Chai	1	Beverages	Nancy Davolio
18.0000	30	0	540.00	QUICK-Stop	Germany	Chai	1	Beverages	Andrew Fuller
18.0000	5	0.2	72.00	Save-a-lot Markets	USA	Chai	1	Beverages	Janet Leverling
18.0000	50	0	900.00	LINO-Delicateses	Venezuela	Chai	1	Beverages	Laura Callahan
18.0000	8	0	144.00	North/South	UK	Chai	1	Beverages	Andrew Fuller
18.0000	4	0.25	54.00	LINO-Delicateses	Venezuela	Chai	1	Beverages	Janet Leverling
18.0000	80	0.2	1152.00	Save-a-lot Markets	USA	Chai	1	Beverages	Margaret Peacock
18.0000	20	0.15	306.00	HILARION-Abastos	Venezuela	Chai	1	Beverages	Margaret Peacock
18.0000	40	0	720.00	Seven Seas Imports	UK	Chai	1	Beverages	Steven Buchanan
18.0000	20	0.05	342.00	Wellington Importadora	Brazil	Chai	1	Beverages	Anne Dodsworth
18.0000	10	0	180.00	Godos Cocina Típica	Spain	Chai	1	Beverages	Janet Leverling
18.0000	60	0.25	810.00	Bottom-Dollar Markets	Canada	Chai	1	Beverages	Janet Leverling
18.0000	21	0	378.00	Wellington Importadora	Brazil	Chai	1	Beverages	Margaret Peacock
18.0000	4	0	72.00	The Cracker Box	USA	Chai	1	Beverages	Janet Leverling
18.0000	2	0	36.00	Wilman Kala	Finland	Chai	1	Beverages	Andrew Fuller
18.0000	8	0	144.00	Great Lakes Food Market	USA	Chai	1	Beverages	Janet Leverling
18.0000	10	0.1	162.00	Wartian Herkku	Finland	Chai	1	Beverages	Michael Suyama
18.0000	45	0	810.00	Save-a-lot Markets	USA	Chai	1	Beverages	Michael Suyama
